C000001_et_000	Sõjaväelased
C003223_et_000	puu- ja köögiviljade konservija
C003223_et_001	puu- ja köögiviljade konserveerija
C003223_et_002	puu- ja köögiviljakonservide valmistaja
C003224_et_000	lateksisse kastmise masina operaator
C003225_et_000	kaevanduse tootmisjuht
C003226_et_000	dividendianalüütik
C003227_et_000	pesula töödejuhataja
C003228_et_000	maiustusevalmistaja
C003228_et_001	kondiiter
C003228_et_002	kondiitritoodete küpsetaja
C003228_et_003	kondiitritoodete valmistaja
C003228_et_004	kookide valmistaja
C003229_et_000	puhkemaastiku spetsialist
C003229_et_001	haljastaja
C003229_et_002	puhke- ja haljasalade spetsialist
C003230_et_000	reklaamispetsialist
C003231_et_000	lõhnaainete keemik
C003232_et_000	muusika- ja videokaupluse müüja
C003233_et_000	jookide turustusjuht
C003234_et_000	patendiinsener
C003235_et_000	põllumajandusmasinate ja -seadmete turustusjuht
C003236_et_000	vesiviljeluskasvanduse tehnik
C003237_et_000	jookide hulgikaupleja
C003238_et_000	kakaoubade jahvatusmasina operaator
C003238_et_001	kakaotootmisettevõtte operaator
C003239_et_000	IKT võrguarhitekt
C003239_et_001	võrguarhitektid
C003239_et_002	võrkude arhitekt
C003239_et_003	võrkude arhitektid
C003240_et_000	vedelmassiks jahvatava masina operaator
C003240_et_001	vedeliku peenestusmasina operaator
C003240_et_002	vedelmassiks peenestava masina operaator
C003240_et_003	vedelmassiks purustava masina operaator
C003240_et_004	vedelmassimasina operaator
C003241_et_000	abinäitejuht
C003242_et_000	delikatessikaupluse müüja
C003243_et_000	hüdroenergeetikainsener
C003244_et_000	mööblitisler
C003245_et_000	linnaplaneerija
C003246_et_000	küünlameister
C003247_et_000	haridusasutuse juht
C003248_et_000	hinnakujunduse spetsialist
C003249_et_000	selvepesula klienditeenindaja
C003250_et_000	klaasivormimismasina operaator
C003251_et_000	sisserännanute nõustaja
C003251_et_001	immigrantide nõustaja
C003252_et_000	IKT-süsteemide arhitekt
C003252_et_001	IKT süsteemiarhitekt
C003252_et_002	IKT süsteemiarhitektid
C003252_et_003	IKT-süsteemide arhitektid
C003253_et_000	maiustuste kaupluse juhataja
C003254_et_000	köögiabiline
C003254_et_001	koka abi
C003254_et_002	köögitööline
C003255_et_000	loomakasvatuse konsulent
C003255_et_001	loomakasvatuse nõunik
C003255_et_002	loomakasvatuskonsulent
C003255_et_003	loomakasvatusnõunik
C003255_et_004	loomakasvatusspetsialist
C003256_et_000	tekstiili, tekstiilitoorme ja pooltoodete impordi ja ekspordi spetsialist
C003257_et_000	kokteilivalmistaja
C003257_et_001	baaridaam
C003257_et_002	baaripidaja
C003257_et_003	baarmen
C003257_et_004	kokteilisegaja
C003258_et_000	varahaldur
C003259_et_000	turismipoliitika juht
C003260_et_000	andmehaldusjuht
C003260_et_001	andmehaldusdirektor
C003260_et_002	andmehaldusdirektorid
C003260_et_003	andmehaldusjuhid
C003260_et_004	andmehaldusülem
C003260_et_005	andmehaldusülemad
C003261_et_000	ravimitehnoloog
C003262_et_000	raamatukirjastaja
C003263_et_000	mootorsõiduki koostamise töödejuhataja
C003264_et_000	jalgrattakoostaja
C003265_et_000	ürituse- ja puhkusekorralduse lihttööline
C003266_et_000	arvutiteadlane
C003266_et_001	IKT-teadlane
C003266_et_002	IKT-teadlased
C003266_et_003	IKT-teadurid
C003266_et_004	IKT-uurija
C003266_et_005	IKT-uurijad
C003267_et_000	puittoodete koostamise kontrollija
C003268_et_000	siidrikääritamise operaator
C003268_et_001	siidrikääritaja
C003268_et_002	siidrikääritamismasina operaator
C003269_et_000	arhivaar
C003270_et_000	looduskaitseteadlane
C003271_et_000	toiduainete tootmise operaator
C003271_et_001	toiduainetootmise operaator
C003271_et_002	toidutootmise operaator
C003272_et_000	laeva tekiohvitser
C003273_et_000	jäätmemaakler
C003274_et_000	tööhõive ja tööalase lõimimise nõustaja
C003275_et_000	vaibapaigaldaja
C003276_et_000	eskadrilliülem
C003277_et_000	väärisehete poleerija
C003278_et_000	teaduskonna dekaan
C003279_et_000	sõjaväemajor
C003280_et_000	kaubakaupleja
C003281_et_000	jaotuskeskuse korraldaja
C003282_et_000	statist
C003283_et_000	nahktoodete tootmisjuht
C003284_et_000	hambaarst
C003285_et_000	lennukorraldaja
C003286_et_000	jäätmekoguja
C003287_et_000	laulusõnade kirjutaja
C003288_et_000	veealuste konstruktsioonitööde juhataja
C003289_et_000	laeva mootoritestija
C003290_et_000	teenuste ja toodete valdkonna juht
C003291_et_000	viinamarjaistanduse tööline
C003292_et_000	loomateraapia praktik
C003293_et_000	jalatsitootmismasinate hooldustehnik
C003294_et_000	hotelli ülemteener
C003294_et_001	hotelli külalisteenindaja
C003294_et_002	hotelli teener
C003295_et_000	nahktoodete käsitsiõmbleja
C003296_et_000	mõõtetehnika insener
C003297_et_000	kaevanduse elektriinsener
C003298_et_000	mõõtetehnik
C003299_et_000	büroomasinate ja -seadmete tehnikamüügi esindaja
C003300_et_000	nahasortija
C003301_et_000	metallide ja metallimaakide impordi ja ekspordi spetsialist
C003302_et_000	loomaaia kollektsioonijuht
C003303_et_000	keemia õppejõud
C003304_et_000	isiklik autojuht
C003305_et_000	elektriliste kodumasinate impordi ja ekspordi spetsialist
C003306_et_000	kehakultuuri eriala kutseõpetaja
C003307_et_000	maastikuaednik
C003307_et_001	haljastaja
C003307_et_002	haljastustööline
C003307_et_003	pargiaednik
C003308_et_000	vahtkummi valmistaja
C003309_et_000	lille- ja aianduskaupluse juhataja
C003310_et_000	kiilrihmakatja
C003311_et_000	veterinaarosteopaat
C003311_et_001	loomade osteopaadid
C003311_et_002	loomade osteopaat
C003311_et_003	loomaosteopaadid
C003311_et_004	loomaosteopaat
C003311_et_005	veterinaarosteopaadid
C003312_et_000	suhkru, šokolaadi ja suhkrukondiitritoodete turustusjuht
C003313_et_000	keskkonnatehnik
C003314_et_000	ürituste elektrik
C003315_et_000	häälnäitleja
C003316_et_000	üldhariduskooli vanema astme filosoofiaõpetaja
C003317_et_000	IKT-tarnesuhete haldur
C003317_et_001	IKT-müüjatega arendatavate suhete haldur
C003317_et_002	IKT-müüjatega arendatavate suhete haldurid
C003317_et_003	IKT-tarnesuhete haldurid
C003317_et_004	IKT-tarnijatega arendatavate suhete haldur
C003317_et_005	IKT-tarnijatega arendatavate suhete haldurid
C003318_et_000	kahjuhindaja
C003319_et_000	kindlustuse riskihindaja
C003320_et_000	vallasvara hindaja
C003321_et_000	vesiviljelushaudejaama tehnik
C003322_et_000	turvajuht
C003323_et_000	keemiatoodete impordi ja ekspordi spetsialist
C003324_et_000	trammidispetšer
C003325_et_000	geotehnik
C003326_et_000	totalisaatorihaldur
C003327_et_000	loomasööda toitumisspetsialist
C003327_et_001	loomade toitumisnõustaja
C003327_et_002	loomade toitumisspetsialist
C003327_et_003	loomatoidu spetsialist
C003327_et_004	toitumisnõustaja
C003327_et_005	toitumisspetsialist
C003328_et_000	tänavatoidu müüja
C003329_et_000	kodumasinate impordi ja ekspordi juht
C003330_et_000	elektronkiirkeevitaja
C003331_et_000	ühiskondliku huviorganisatsiooni juht
C003332_et_000	anodeerimismasina operaator
C003333_et_000	tehnikaõppejõud
C003334_et_000	rongisaatja
C003335_et_000	seakasvataja
C003335_et_001	loomakasvataja
C003335_et_002	seafarmer
C003335_et_003	sigade kasvataja
C003336_et_000	ofsettrükkal
C003337_et_000	hädaolukorra päästetöötaja
C003338_et_000	lammutaja
C003339_et_000	vee retsirkulatsiooniga vesiviljelussüsteemide tehnik
C003340_et_000	materjalide katsetamise tehnik
C003341_et_000	kasiino vahetusevanem
C003342_et_000	kunstiterapeut
C003343_et_000	lainepapimasina operaator
C003344_et_000	hõbesepp
C003345_et_000	põllumajandusmasinate ja -seadmete hulgikaupleja
C003346_et_000	üldveterinaararst
C003346_et_001	üldloomaarst
C003346_et_002	üldloomaarstid
C003346_et_003	üldveterinaararstid
C003347_et_000	poliitikaajakirjanik
C003348_et_000	tööstuse tootmisjuht
C003349_et_000	majutusasutuse turvatöötaja
C003349_et_001	majutusasutuse turvateenistuse juhataja
C003349_et_002	majutusettevõtte turvajuht
C003349_et_003	turvajuht
C003350_et_000	metallipuurmasina operaator
C003351_et_000	stsenarist
C003352_et_000	kalavõrgu valmistaja
C003353_et_000	keraamik
C003354_et_000	keemiainsener
C003355_et_000	survevormimismasina operaator
C003356_et_000	subtitreerija
C003357_et_000	e-õppematerjalide koostaja
C003357_et_001	e-koolitusmaterjalide koostaja
C003357_et_002	e-koolitusmaterjalide koostajad
C003357_et_003	e-õppematerjalide koostajad
C003358_et_000	tööriistalukksepp ja stantsivalmistaja
C003359_et_000	karikaturist
C003360_et_000	sõidukielektroonika paigaldaja
C003361_et_000	sigaretitootmismasina operaator
C003361_et_001	sigaretimasina operaator
C003361_et_002	sigaretitootmise masina operaator
C003361_et_003	sigaretivalmistaja
C003361_et_004	sigaretivalmistamise masina operaator
C003361_et_005	sigarettide tootmise masina operaator
C003361_et_006	sigarettide valmistamise masina operaator
C003362_et_000	masintikkija
C003363_et_000	vaimulik
C003364_et_000	torulukksepp
C003365_et_000	rafineerimismasina operaator
C003365_et_001	rafineerija
C003365_et_002	rafineerimise operaator
C003365_et_003	rafineerimisoperaator
C003366_et_000	jalatsitööstuse kvaliteedikontrollilabori tehnik
C003367_et_000	pearaamatupidaja
C003368_et_000	jalgrattakaupluse juhataja
C003369_et_000	mehhatroonikatehnik
C003370_et_000	süüturites kasutatava pulbri segaja
C003371_et_000	liha ja lihatoodete turustusjuht
C003372_et_000	laevakapten siseveekogudel
C003373_et_000	hooldekodu juht
C003374_et_000	kahveltõstukijuht
C003375_et_000	ekskavaatorijuht
C003376_et_000	bioloog
C003377_et_000	niisutussüsteemide paigaldaja
C003378_et_000	jalatsitööstuse tootearendusjuht
C003379_et_000	terviseteabe juht
C003380_et_000	tööpinkide impordi ja ekspordi spetsialist
C003381_et_000	õhusõiduki mootoriinspektor
C003382_et_000	sisearhitekt
C003383_et_000	kaevanduse geotehnikainsener
C003384_et_000	kaevanduse lihttööline
C003385_et_000	veterinaarkliiniku vastuvõtutöötaja
C003385_et_001	loomaarsti vastuvõtulaua töötaja
C003385_et_002	veterinaarkabineti vastuvõtulaua töötaja
C003386_et_000	metsnik
C003386_et_001	metsamajandaja
C003386_et_002	metsamees
C003386_et_003	metsaülem
C003387_et_000	tankla juhataja
C003388_et_000	ehituskonstruktsioonide kvaliteediinspektor
C003388_et_001	ehituskonstruktsioonide ekspert
C003389_et_000	teatritehnik
C003390_et_000	IKT-taristu juht
C003390_et_001	IKT-infrastruktuuri juhid
C003390_et_002	IKT-infrastruktuuri juht
C003390_et_003	IKT-taristu juhid
C003391_et_000	üldhariduskooli vanema astme matemaatikaõpetaja
C003392_et_000	ehitusinspektor
C003393_et_000	mobiiltelefonide hooldustehnik
C003394_et_000	tuumaenergeetika insener
C003395_et_000	loomade halal tapja ja rümbakäitleja
C003396_et_000	alajaama insener
C003397_et_000	gaasitöötlusjaama operaator
C003398_et_000	oksjonipidaja
C003399_et_000	kauba väljapanija
C003400_et_000	salongimeeskonna liige
C003401_et_000	au pair
C003402_et_000	muusikaharrastuse õpetaja
C003403_et_000	tuleohutuse ülem
C003404_et_000	teeremonditööline
C003405_et_000	laevakapten
C003406_et_000	tarkvaraarendaja
C003406_et_001	tarkvara programmeerija
C003406_et_002	tarkvara programmeerijad
C003406_et_003	tarkvaraarendajad
C003407_et_000	õhuväeohvitser
C003407_et_001	kommodoor
C003408_et_000	tänavavalgustuselektrik
C003409_et_000	joogikaupluse juhataja
C003410_et_000	nahktootemasinate hooldustehnik
C003411_et_000	tarkvarajuht
C003411_et_001	tarkvarajuhid
C003411_et_002	tarkvarakoordinaator
C003411_et_003	tarkvarakoordinaatorid
C003411_et_004	tarkvaraprogrammide koordinaator
C003411_et_005	tarkvaraprogrammide koordinaatorid
C003412_et_000	elektriseadmestiku juhtimisruumi operaator
C003412_et_001	elektrijaama juhtimissüsteemi operaator
C003413_et_000	tekstiilitööstusmasinate impordi ja ekspordi spetsialist
C003414_et_000	bakterioloogiatehnik
C003414_et_001	mikrobioloogialaborant
C003415_et_000	kohvi, tee, kakao ja maitseainete impordi ja ekspordi spetsialist
C003416_et_000	kirjandusteadlane
C003417_et_000	lillede ja taimede hulgikaupleja
C003418_et_000	biotehnoloogia insener
C003419_et_000	õhutranspordi lastimisspetsialist
C003420_et_000	kiviraidur
C003421_et_000	rõivatootmise protsessijuhtimise tehnik
C003422_et_000	koduse hoolekande spetsialist
C003423_et_000	aeronavigatsiooniteabe spetsialist
C003424_et_000	metsavaht
C003424_et_001	metsamees
C003424_et_002	metsnik
C003425_et_000	metsatöömasinate tehnik
C003425_et_001	metsamasinate mehaanik
C003425_et_002	metsamasinate tehnik
C003426_et_000	krohvija
C003427_et_000	remonditööline
C003428_et_000	sideseadmete müüja
C003429_et_000	lausriide valmistaja
C003430_et_000	meditsiinilabori juht
C003431_et_000	alkohoolsete jookide segamismasina operaator
C003431_et_001	alkohoolsete jookide segaja
C003432_et_000	turismiinfokeskuse juhataja
C003432_et_001	infopunkti juhataja
C003432_et_002	turismiinfokeskuse juht
C003432_et_003	turismiinfopunkti juhataja
C003432_et_004	turismiteabekeskuse juhataja
C003433_et_000	kodumasinate hooldusmehaanik
C003434_et_000	veterinaarhüdroterapeut
C003434_et_001	loomade hüdroteraapia spetsialist
C003434_et_002	loomade hüdroteraapia spetsialistid
C003434_et_003	loomade vesiravi spetsialist
C003434_et_004	loomade vesiravi spetsialistid
C003434_et_005	loomade vesiraviarst
C003434_et_006	loomade vesiraviarstid
C003434_et_007	veterinaarhüdroterapeudid
C003435_et_000	kontaktkeskuse juht
C003436_et_000	reklaamimüüja
C003437_et_000	jahupuhasti operaator
C003437_et_001	jahu puhastamise operaator
C003437_et_002	jahupuhastaja
C003437_et_003	jahupuhastamise operaator
C003437_et_004	jahupuhastuse operaator
C003437_et_005	jahupuhastusoperaator
C003438_et_000	noortekeskuse juhataja
C003439_et_000	siidtrükišabloonide tehnik
C003440_et_000	idiofonimeister
C003441_et_000	maanteetranspordi osakonna juht
C003442_et_000	kolimiskorraldaja
C003443_et_000	keemiatööstuse töödejuhataja
C003444_et_000	elektrikaablite koostaja
C003445_et_000	käsitsipakkija
C003446_et_000	põllukultuuride tootmise rühmajuht
C003446_et_001	põllumajanduskultuuride tootmise rühmajuht
C003446_et_002	põllumees
C003447_et_000	personalijuht
C003448_et_000	meelelahutustööstuse juuksur-stilist
C003449_et_000	rahukohtunik
C003450_et_000	raudteeliikluse dispetšer
C003451_et_000	muusik
C003452_et_000	erakonna peasekretär
C003453_et_000	üldhariduskooli vanema astme draamaõpetaja
C003454_et_000	mahutitäitja
C003455_et_000	loomaaia loomatalitaja
C003456_et_000	kasutatud kaupade kaupluse juhataja
C003457_et_000	põllumajandusseadmete tehnik
C003458_et_000	personaaltreener
C003459_et_000	piimatoodete ja toiduõli impordi ja ekspordi spetsialist
C003460_et_000	tekstiiliviimistlusmasina operaator
C003461_et_000	välisasjade ametnik
C003462_et_000	köögikoristaja
C003462_et_001	köögitööline
C003462_et_002	nõudepesija
C003463_et_000	administraator
C003464_et_000	keevitusinspektor
C003465_et_000	leinanõustaja
C003466_et_000	hariduspoliitika spetsialist
C003467_et_000	antiigikaupluse müüja
C003468_et_000	kaevanduse ohutusametnik
C003469_et_000	kardinate ja vaipade puhastaja
C003470_et_000	tutvumisteenuse konsultant
C003471_et_000	tooraine vastuvõtu operaator
C003471_et_001	toidutoorme vastuvõtuoperaator
C003471_et_002	tooraine vastuvõtja
C003471_et_003	tooraine vastuvõtmise operaator
C003472_et_000	sõiduautode ja väikebusside renditeenuse müüja
C003473_et_000	gemmoloog
C003474_et_000	füsioterapeudi assistent
C003474_et_001	füsioterapeudi abiline
C003475_et_000	elektrooniliste muusikainstrumentide valmistaja
C003476_et_000	prillide ja optikaseadmete kaupluse juhataja
C003477_et_000	algklasside eripedagoog
C003477_et_001	algkooli eripedagoog
C003477_et_002	eripedagoog
C003478_et_000	olmeelektroonika hooldustehnik
C003479_et_000	ajakirja toimetaja
C003480_et_000	liftimehaanik
C003481_et_000	kohvi, tee, kakao ja vürtside turustusjuht
C003482_et_000	isiklik ostlemiskonsultant
C003483_et_000	ihukaitsja
C003484_et_000	kingsepp
C003485_et_000	korrektor
C003486_et_000	vormimiseelse töötlemise operaator
C003487_et_000	rekreatsiooniterapeut
C003488_et_000	bioinsener
C003489_et_000	puhkpillimeister
C003490_et_000	toor- ja parknaha ning nahktoodete impordi ja ekspordi spetsialist
C003491_et_000	vesiviljeluse kvaliteedijuht
C003492_et_000	rongiteenindaja
C003493_et_000	arborist
C003494_et_000	metsanõunik
C003494_et_001	metsakonsulent
C003494_et_002	metsakonsultant
C003494_et_003	metsamees
C003494_et_004	metsandusnõunik
C003494_et_005	metsandusnõustaja
C003495_et_000	mootorsõidukite kere koostaja
C003496_et_000	sadamakorraldaja
C003497_et_000	sotsiaalpedagoog
C003498_et_000	metroloog
C003499_et_000	laste päevakeskuse juhataja
C003500_et_000	looduskaitsevaldkonna konsultant
C003501_et_000	magestamistehnik
C003501_et_001	sooltustamise tehnik
C003502_et_000	valuutamaakler
C003503_et_000	toateeninduse vanem
C003503_et_001	koristusteenuste järelevaataja
C003503_et_002	majapidamisteenuste ülevaataja
C003503_et_003	majapidamistööde järelevaataja
C003504_et_000	ehitusjuht
C003505_et_000	kasutajakogemuse analüütik
C003505_et_001	kasutajakogemuse analüüsija
C003505_et_002	kasutajakogemuse analüüsijad
C003505_et_003	kasutajakogemuse analüütikud
C003506_et_000	arhiivijuhataja
C003507_et_000	üldhariduskooli vanema astme nüüdiskeelte õpetaja
C003508_et_000	drenaažitööline
C003509_et_000	krupjee
C003510_et_000	geoloogiatehnik
C003511_et_000	toote pinnatöötleja
C003512_et_000	puitmööbli viimistleja
C003513_et_000	hooneehituse lihttööline
C003514_et_000	klassikalise filoloogia õppejõud
C003515_et_000	arvutusinsener
C003516_et_000	vesiviljeluse valmistoodangu abitööline
C003517_et_000	metsatehnik
C003517_et_001	järelevalve teostaja
C003517_et_002	metsamees
C003517_et_003	metsatööde juhataja
C003518_et_000	loomatreener
C003518_et_001	loomade treener
C003518_et_002	loomade treenerid
C003518_et_003	loomatreenerid
C003519_et_000	lennujaama direktor
C003520_et_000	futuurikaupleja
C003521_et_000	elutreener
C003521_et_001	arengutreener
C003521_et_002	isiklik arengunõustaja
C003522_et_000	papptoodete koostaja
C003523_et_000	rahvusvahelise üliõpilasvahetuse koordinaator
C003524_et_000	koagulaatorioperaator
C003525_et_000	kaevanduse mehaanikainsener
C003526_et_000	sepp
C003527_et_000	veeinsener
