C000001_es_000	Ocupaciones militares
C003404_es_000	trabajador de mantenimiento de carreteras/trabajadora de mantenimiento de carreteras
C003404_es_001	operaria de mantenimiento de carreteras
C003404_es_002	operario de mantenimiento de carreteras
C003404_es_003	trabajador de mantenimiento de carreteras
C003404_es_004	trabajadora de mantenimiento de carreteras
C003405_es_000	capitán de buque/capitana de buque
C003405_es_001	capitana de barco
C003405_es_002	capitana de buque
C003405_es_003	capitana de buque de recreo
C003405_es_004	capitana de buque mercante
C003405_es_005	capitana de yate
C003405_es_006	capitán de barco
C003405_es_007	capitán de buque
C003405_es_008	capitán de buque de recreo
C003405_es_009	capitán de buque mercante
C003405_es_010	capitán de yate
C003405_es_011	patrona de barco
C003405_es_012	patrón de barco
C003406_es_000	desarrollador de software/desarrolladora de software
C003406_es_001	desarrollador de aplicaciones
C003406_es_002	desarrollador de software
C003406_es_003	desarrollador de soluciones
C003406_es_004	desarrolladora de aplicaciones
C003406_es_005	desarrolladora de software
C003406_es_006	desarrolladora de soluciones
C003406_es_007	desarrolladores de software
C003406_es_008	ingeniera de aplicaciones
C003406_es_009	ingeniero de aplicaciones
C003407_es_000	oficial del Ejército del Aire
C003407_es_001	comandante de aeronave
C003407_es_002	instructor
C003407_es_003	instructor de simulador
C003407_es_004	instructora
C003407_es_005	instructora de simulador
C003407_es_006	jefa de escuadrón
C003407_es_007	jefe de escuadrón
C003407_es_008	oficial de operaciones
C003407_es_009	piloto militar del Ejército del Aire
C003408_es_000	electricista de alumbrado viario
C003409_es_000	gerente de tienda de bebidas
C003409_es_001	responsable de tienda de bebidas
C003410_es_000	técnico de mantenimiento de maquinaria para fabricar productos de piel y cuero/técnica de mantenimiento de maquinaria para fabricar productos de piel y cuero
C003410_es_001	técnica de mantenimiento de maquinaria (calzado)
C003410_es_002	técnica de mantenimiento de maquinaria para fabricar productos de piel y cuero
C003410_es_003	técnico de mantenimiento de maquinaria (calzado)
C003410_es_004	técnico de mantenimiento de maquinaria para fabricar productos de piel y cuero
C003411_es_000	gestor de software/gestora de software
C003411_es_001	gestor de aplicaciones
C003411_es_002	gestor de aplicaciones de TIC
C003411_es_003	gestor de software
C003411_es_004	gestora de aplicaciones
C003411_es_005	gestora de aplicaciones de TIC
C003411_es_006	gestora de software
C003411_es_007	gestores de software
C003412_es_000	operador de sala de control en central nuclear/operadora de sala de control en central nuclear
C003412_es_001	jefa de sala de control en central nuclear
C003412_es_002	jefe de sala de control en central nuclear
C003412_es_003	operador de sala de control en central nuclear
C003412_es_004	operadora de sala de control en central nuclear
C003413_es_000	especialista en importación y exportación de maquinaria para la industria textil
C003413_es_001	administrador de importación y exportación
C003413_es_002	administradora de importación y exportación
C003413_es_003	especialista en logística de maquinaria para la industria textil
C003413_es_004	técnica en comercio exterior
C003413_es_005	técnica superior en comercio internacional
C003413_es_006	técnico en comercio exterior
C003413_es_007	técnico superior en comercio internacional
C003414_es_000	técnico en laboratorio bacteriológico/técnica en laboratorio bacteriológico
C003414_es_001	ayudante técnica en laboratorio de bacteriología
C003414_es_002	ayudante técnico en laboratorio de bacteriología
C003414_es_003	bacterióloga
C003414_es_004	bacteriólogo
C003414_es_005	técnica en laboratorio bacteriológico
C003414_es_006	técnica especialista en bacteriología
C003414_es_007	técnico en laboratorio bacteriológico
C003414_es_008	técnico especialista en bacteriología
C003415_es_000	especialista en importación y exportación de café, té, cacao y especias
C003415_es_001	administrador de importación y exportación
C003415_es_002	administradora de importación y exportación
C003415_es_003	especialista en logística de café, té, cacao y especias
C003415_es_004	técnica superior en comercio internacional
C003415_es_005	técnico superior en comercio internacional
C003416_es_000	investigador en literatura/investigadora en literatura
C003416_es_001	crítica literaria
C003416_es_002	crítico literario
C003416_es_003	investigador en literatura
C003416_es_004	investigadora en literatura
C003416_es_005	profesor de literatura
C003416_es_006	profesora de literatura
C003417_es_000	mayorista de flores y plantas
C003417_es_001	comerciante al por mayor de flores y plantas
C003417_es_002	consultor de comercio al por mayor de flores y plantas
C003417_es_003	consultora de comercio al por mayor de flores y plantas
C003418_es_000	ingeniero bioquímico/ingeniera bioquímica
C003418_es_001	ingeniera bioquímica
C003418_es_002	ingeniero bioquímico
C003419_es_000	coordinador logístico de carga aérea/coordinadora logística de carga aérea
C003419_es_001	coordinador logístico de carga aérea
C003419_es_002	coordinadora logística de carga aérea
C003420_es_000	cantero/cantera
C003420_es_001	cantera
C003420_es_002	cantero
C003420_es_003	marmolista
C003420_es_004	picapedrera
C003420_es_005	picapedrero
C003421_es_000	técnico en control de calidad de procesos de confección/técnica en control de calidad de procesos de confección
C003421_es_001	examinador-revisor de prendas confeccionadas
C003421_es_002	examinadora-revisora de prendas confeccionadas
C003421_es_003	supervisor de prendas confeccionadas
C003421_es_004	supervisora de prendas confeccionadas
C003421_es_005	técnica de control de producto textil
C003421_es_006	técnica de fabricación de prendas de vestir
C003421_es_007	técnica de laboratorio textil y control de calidad
C003421_es_008	técnica de manufactura de prendas de vestir
C003421_es_009	técnica en control de calidad de procesos de confección
C003421_es_010	técnica en procesos de confección industrial
C003421_es_011	técnico de control de producto textil
C003421_es_012	técnico de fabricación de prendas de vestir
C003421_es_013	técnico de laboratorio textil y control de calidad
C003421_es_014	técnico de manufactura de prendas de vestir
C003421_es_015	técnico en control de calidad de procesos de confección
C003421_es_016	técnico en procesos de confección industrial
C003422_es_000	cuidador a domicilio/cuidadora a domicilio
C003422_es_001	cuidador de atención domiciliaria a mayores
C003422_es_002	cuidador de personas mayores a domicilio
C003422_es_003	cuidadora de atención domiciliaria a mayores
C003422_es_004	cuidadora de personas mayores a domicilio
C003422_es_005	trabajador familiar
C003422_es_006	trabajadora familiar
C003423_es_000	especialista en información aeronáutica
C003423_es_001	especialista en datos aeronáuticos
C003424_es_000	agente de conservación forestal
C003424_es_001	guarda de los bosques
C003424_es_002	guarda del bosque
C003424_es_003	guarda forestal
C003424_es_004	guardia forestal
C003425_es_000	técnico de maquinaria forestal/técnica de maquinaria forestal
C003425_es_001	especialista en mantenimiento de maquinaria forestal
C003425_es_002	técnica de maquinaria forestal
C003425_es_003	técnica especialista en mantenimiento de maquinaria forestal
C003425_es_004	técnica especializada en el mantenimiento de maquinaria forestal
C003425_es_005	técnico de maquinaria forestal
C003425_es_006	técnico especialista en mantenimiento de maquinaria forestal
C003425_es_007	técnico especializado en el mantenimiento de maquinaria forestal
C003426_es_000	escayolista
C003427_es_000	empleado de mantenimiento/empleada de mantenimiento
C003427_es_001	empleada de mantenimiento
C003427_es_002	empleado de mantenimiento
C003428_es_000	vendedor especializado en telefonía y comunicaciones/vendedora especializada en telefonía y comunicaciones
C003428_es_001	vendedor especializado en telefonía y comunicaciones
C003428_es_002	vendedora especializada en telefonía y comunicaciones
C003429_es_000	técnico de fabricación de telas no tejidas/técnica de fabricación de telas no tejidas
C003429_es_001	operador de máquinas para fabricar telas no tejidas
C003429_es_002	operador de productos textiles no tejidos
C003429_es_003	operadora de máquinas para fabricar telas no tejidas
C003429_es_004	operadora de productos textiles no tejidos
C003429_es_005	operaria de fabricación de telas no tejidas
C003429_es_006	operario de fabricación de telas no tejidas
C003429_es_007	técnica de fabricación de telas no tejidas
C003429_es_008	técnico de fabricación de telas no tejidas
C003430_es_000	director del departamento de laboratorio médico/directora del departamento de laboratorio médico
C003430_es_001	director de laboratorio médico
C003430_es_002	director del departamento de laboratorio médico
C003430_es_003	directora de laboratorio médico
C003430_es_004	directora del departamento de laboratorio médico
C003431_es_000	mezclador de licores/mezcladora de licores
C003431_es_001	encargada de la mezcla de licores
C003431_es_002	encargado de la mezcla de licores
C003431_es_003	especialista en mezcla de licores
C003431_es_004	experta en mezcla de licores
C003431_es_005	experto en mezcla de licores
C003431_es_006	mezclador de licores
C003431_es_007	mezcladora de licores
C003431_es_008	responsable de la mezcla de licores
C003432_es_000	director de centro de información de turismo/directora de centro de información de turismo
C003432_es_001	director de centro de información de turismo
C003432_es_002	director de centro de información turística
C003432_es_003	director de oficina de turismo
C003432_es_004	directora de centro de información de turismo
C003432_es_005	directora de centro de información turística
C003432_es_006	directora de oficina de turismo
C003432_es_007	gerenta de centro de información turística
C003432_es_008	gerente de centro de información turística
C003432_es_009	responsable de oficina de turismo
C003433_es_000	técnico reparador de electrodomésticos/técnica reparadora de electrodomésticos
C003433_es_001	técnica reparadora de electrodomésticos
C003433_es_002	técnico reparador de electrodomésticos
C003434_es_000	hidroterapeuta de animales
C003434_es_001	hidroterapeutas de animales
C003434_es_002	terapeuta de animales
C003435_es_000	director de servicio de atención al cliente/directora de servicio de atención al cliente
C003435_es_001	director de servicio de atención al cliente
C003435_es_002	directora de servicio de atención al cliente
C003436_es_000	comercial de espacios publicitarios
C003436_es_001	agente comercial de publicidad para medios de comunicación
C003436_es_002	agente de ventas de espacios publicitarios
C003436_es_003	asesor comercial publicitario
C003436_es_004	asesora comercial publicitaria
