C000001_de_000	Angehörige der regulären Streitkräfte
C003179_de_003	Schiffsmotoreninspektor
C003179_de_004	Schiffsmotoreninspektorin
C003180_de_000	Wachsbleicher/Wachsbleicherin
C003180_de_001	Wachsbleicher
C003180_de_002	Wachsbleicherin
C003181_de_000	Warengruppenmanager/Warengruppenmanagerin
C003181_de_001	Category-Manager
C003181_de_002	Category-Managerin
C003181_de_003	Warengruppenmanager
C003181_de_004	Warengruppenmanagerin
C003182_de_000	Hochschullehrkraft für Mathematik
C003182_de_001	Dozent/in für theoretische Mathematik
C003182_de_002	Hochschulassistent/in für Wirtschaftsmathematik
C003182_de_003	Professor für Mathematik
C003182_de_004	Professorin für Mathematik
C003182_de_005	UniversitätsprofessorIn für Mathematik
C003182_de_006	WissenschaftlicheR MitarbeiterIn
C003183_de_000	Qualitätssicherungstechniker Chemiefertigung/Qualitätssicherungstechnikerin Chemiefertigung
C003183_de_001	Qualitätssicherungstechniker Chemiefertigung
C003183_de_002	Qualitätssicherungstechniker Chemieproduktion
C003183_de_003	Qualitätssicherungstechnikerin Chemiefertigung
C003183_de_004	Qualitätssicherungstechnikerin Chemieproduktion
C003184_de_000	Escort
C003184_de_001	Begleitperson
C003184_de_002	Callboy
C003184_de_003	Callgirl
C003184_de_004	Clubbegleiter
C003184_de_005	Clubbegleiterin
C003184_de_006	Escort-Dame
C003184_de_007	Escort-Herr
C003184_de_008	Escorthostess
C003184_de_009	Eskort-Dame
C003184_de_010	Eskort-Herr
C003184_de_011	Eskort-Hostess
C003184_de_012	Eskortdame
C003184_de_013	Eskortherr
C003184_de_014	Gigolo
C003184_de_015	Prostituierte
C003184_de_016	Prostituierter
C003184_de_017	Sexualarbeiter
C003184_de_018	Sexualarbeiterin
C003184_de_019	Tanzpartner
C003184_de_020	Tanzpartnerin
C003185_de_000	Müller/Müllerin
C003185_de_001	Müller
C003185_de_002	Müllerin
C003185_de_003	Verfahrenstechnologe in der Mühlen- und Futtermittelwirtschaft
C003185_de_004	Verfahrenstechnologin in der Mühlen- und Futtermittelwirtschaft
C003186_de_000	Manufakturporzellanmaler/Manufakturporzellanmalerin
C003186_de_001	Manufakturporzellanmaler
C003186_de_002	Manufakturporzellanmalerin
C003186_de_003	Porzellanmaler
C003186_de_004	Porzellanmalerin
C003187_de_000	Wirtschaftsjournalist/Wirtschaftsjournalistin
C003187_de_001	Wirtschaftsjournalist
C003187_de_002	Wirtschaftsjournalistin
C003187_de_003	Wirtschaftsredakteur
C003187_de_004	Wirtschaftsredakteurin
C003188_de_000	Vorderhausleiter/Vorderhausleiterin
C003188_de_001	Vorderhausleiter
C003188_de_002	Vorderhausleiterin
C003189_de_000	Künstlerischer Leiter/Künstlerische Leiterin
C003189_de_001	Intendant
C003189_de_002	Intendantin
C003189_de_003	Künstlerische Leiterin
C003189_de_004	Künstlerischer Leiter
C003190_de_000	Änderungschneider/Änderungsschneiderin
C003190_de_001	Änderungsschneider
C003190_de_002	Änderungsschneiderin
C003191_de_000	Fahrzeug- und Motoreningenieur/Fahrzeug- und Motoreningenieurin
C003191_de_001	Fahrzeug- und Motoreningenieur
C003191_de_002	Fahrzeug- und Motoreningenieurin
C003191_de_003	Motorenkonstrukteur
C003191_de_004	Motorenkonstrukteurin
C003192_de_000	Einkaufsdisponent/Einkaufsdisponentin
C003192_de_001	Einkaufsassistent
C003192_de_002	Einkaufsassistentin
C003192_de_003	Einkaufsdisponent
C003192_de_004	Einkaufsdisponentin
C003192_de_005	Einkaufssachbearbeiter
C003192_de_006	Einkaufssachbearbeiterin
C003192_de_007	Logistikplaner
C003192_de_008	Logistikplanerin
C003193_de_000	Gießereimechaniker/Gießereimechanikerin
C003193_de_001	Gießereimechaniker
C003193_de_002	Gießereimechanikerin
C003193_de_003	Gießereitechniker
C003193_de_004	Gießereitechnikerin
C003194_de_000	Import-/Exportmanager für Obst und Gemüse/Import-/Exportmanagerin für Obst und Gemüse
C003194_de_001	Import-/Exportmanager für Obst und Gemüse
C003194_de_002	Import-/Exportmanagerin für Obst und Gemüse
C003195_de_000	Import-/Exportmanager für landwirtschaftliche Rohstoffe, Saatgut und Tierfutter/Import-/Exportmanagerin für landwirtschaftliche Rohstoffe, Saatgut und Tierfutter
C003195_de_001	Import-/Exportmanager für landwirtschaftliche Rohstoffe, Saatgut und Tierfutter
C003195_de_002	Import-/Exportmanagerin für landwirtschaftliche Rohstoffe, Saatgut und Tierfutter
C003196_de_000	Einbalsamierer/Einbalsamiererin
C003196_de_001	Bestattungsfachkraft
C003196_de_002	Bestattungsgehilfe
C003196_de_003	Bestattungsgehilfin
C003196_de_004	Bestattungshelfer
C003196_de_005	Bestattungshelferin
C003196_de_006	Einbalsamierer
C003196_de_007	Einbalsamiererin
C003196_de_008	Leichenbestatter
C003196_de_009	Leichenbestatterin
C003196_de_010	Leichenwärter
C003196_de_011	Leichenwärterin
C003196_de_012	Leichenwäscher
C003196_de_013	Leichenwäscherin
C003196_de_014	Thanatopraktiker
C003196_de_015	Thanatopraktikerin
C003197_de_000	Mälzermeister/Mälzermeisterin
C003197_de_001	Malzmeister
C003197_de_002	Malzmeisterin
C003197_de_003	Mälzermeister
C003197_de_004	Mälzermeisterin
C003198_de_000	Schmuckreparateur/Schmuckreparateurin
C003198_de_001	Edelsteinfasser
C003198_de_002	Edelsteinfasserin
C003198_de_003	Juwelier
C003198_de_004	Juwelierin
C003198_de_005	Schmuckreparateur
C003198_de_006	Schmuckreparateurin
C003199_de_000	Montageleiter Schienenfahrzeugbau/Montageleiterin Schienenfahrzeugbau
C003199_de_001	Montageleiter Schienenfahrzeugbau
C003199_de_002	Montageleiterin Schienenfahrzeugbau
C003200_de_000	Sozialarbeiter im Bereich Rehabilitation/Sozialarbeiterin im Bereich Rehabilitation
C003200_de_001	Sozialarbeiter im Bereich Rehabilitation
C003200_de_002	Sozialarbeiterin im Bereich Rehabilitation
C003201_de_000	Import-/Exportsachbearbeiter für Porzellan und Glaswaren/Import-/Exportsachbearbeiterin für Porzellan und Glaswaren
C003201_de_001	Import-/Exportsachbearbeiter für Porzellan und Glaswaren
C003201_de_002	Import-/Exportsachbearbeiterin für Porzellan und Glaswaren
C003202_de_000	Webmaster/Webmasterin
C003202_de_001	Web-Betreuer
C003202_de_002	Web-Betreuerin
C003202_de_003	Web-Master
C003202_de_004	Web-Masterin
C003202_de_005	Webmaster
C003202_de_006	Webmasterin
C003202_de_007	Webspezialist
C003202_de_008	Webspezialistin
C003203_de_000	Verladebrückenführer/Verladebrückenführerin
C003203_de_001	Containerbrücken-Fahrer
C003203_de_002	Containerbrücken-Fahrerin
C003203_de_003	Containerbrückenfahrer
C003203_de_004	Containerbrückenfahrerin
C003203_de_005	Schiffskranführer
C003203_de_006	Schiffskranführerin
C003203_de_007	Verladebrückenführer
C003203_de_008	Verladebrückenführerin
C003203_de_009	Verladekranführer
C003203_de_010	Verladekranführerin
C003204_de_000	Schuhinstandsetzer/Schuhinstandsetzerin
C003204_de_001	Reparaturschuhmacher
C003204_de_002	Reparaturschuhmacherin
C003204_de_003	Schuhinstandsetzer
C003204_de_004	Schuhinstandsetzerin
C003205_de_000	Ingenieur Oberflächentechnik/Ingenieurin Oberflächentechnik
C003205_de_001	Ingenieur Oberflächentechnik
C003205_de_002	Ingenieurin Oberflächentechnik
C003206_de_000	Filmvorführer/Filmvorführerin
C003206_de_001	Filmvorführer
C003206_de_002	Filmvorführerin
C003206_de_003	Kinovorführer
C003206_de_004	Kinovorführerin
C003207_de_000	Optoelektroniker/Optoelektronikerin
C003207_de_001	Feinwerktechniker Optoelektronik
C003207_de_002	Feinwerktechnikerin Optoelektronik
C003207_de_003	Optoelektroniker
C003207_de_004	Optoelektronikerin
C003208_de_000	Call-Center-Manager/Call-Center-Managerin
C003208_de_001	Call-Center-Administrator
C003208_de_002	Call-Center-Administratorin
C003208_de_003	Call-Center-Manager
C003208_de_004	Call-Center-Managerin
C003209_de_000	Bauwerksmechaniker für Abbruch und Betontrenntechnik/Bauwerksmechanikerin für Abbruch und Betontrenntechnik
C003209_de_001	Abbruchtechniker
C003209_de_002	Abbruchtechnikerin
C003209_de_003	Bauwerksmechaniker für Abbruch und Betontrenntechnik
C003209_de_004	Bauwerksmechanikerin für Abbruch und Betontrenntechnik
C003210_de_000	Hausverwalter/Hausverwalterin
C003210_de_001	Hausverwalter
C003210_de_002	Hausverwalterin
C003210_de_003	Hausverwaltungsfachkraft
C003210_de_004	Wohnungsverwalter
C003210_de_005	Wohnungsverwalterin
C003211_de_000	Import-/Exportsachbearbeiter für Parfüm und Kosmetika/Import-/Exportsachbearbeiterin für Parfüm und Kosmetika
C003211_de_001	Import-/Exportsachbearbeiter für Parfüm und Kosmetika
C003211_de_002	Import-/Exportsachbearbeiterin für Parfüm und Kosmetika
C003212_de_000	Deckpersonal
C003212_de_001	Decksfrau
C003212_de_002	Decksmann
C003213_de_000	Aufseher von Hafenarbeiten/Aufseherin von Hafenarbeiten
C003213_de_001	Aufseher von Hafenarbeiten
C003213_de_002	Aufseherin von Hafenarbeiten
C003214_de_000	Vertriebsleiter für elektrische Haushaltsgeräte/Vertriebsleiterin für elektrische Haushaltsgeräte
C003214_de_001	Vertriebsleiter für elektrische Haushaltsgeräte
C003214_de_002	Vertriebsleiterin für elektrische Haushaltsgeräte
C003215_de_000	Inspektor gefährliche Abfälle/Inspektorin gefährliche Abfälle
C003215_de_001	Inspektor gefährliche Abfälle
C003216_de_000	Vermietungsdienstmanager/Vermietungsdienstmanagerin
C003216_de_001	Vermietungsdienstleiter
C003216_de_002	Vermietungsdienstleiterin
C003216_de_003	Vermietungsdienstmanager
C003216_de_004	Vermietungsdienstmanagerin
C003217_de_000	Großhändler für lebende Tiere/Großhändlerin für lebende Tiere
C003217_de_001	Großhändler für lebende Tiere
C003217_de_002	Großhändlerin für lebende Tiere
C003218_de_000	Energieberater/Energieberaterin
C003218_de_001	Energieberater
C003218_de_002	Energieberaterin
C003218_de_003	Nachhaltigkeitsberater
C003218_de_004	Nachhaltigkeitsberaterin
C003219_de_000	Brand Manager/Brand Managerin
C003219_de_001	Brand Manager
C003219_de_002	Brand ManagerIn
C003219_de_003	Brand Managerin
C003219_de_004	MarkenmanagerIn
C003219_de_005	Produktmanager/in
C003219_de_006	ProduktmanagerIn
C003220_de_000	Programmfinanzierungsmanager/Programmfinanzierungsmanagerin
C003220_de_001	Finanzmanager/in
C003220_de_002	Programmfinanzierungsmanager
C003220_de_003	Programmfinanzierungsmanagerin
C003220_de_004	ProjektmanagerIn
C003221_de_000	Techniker - Feinwerktechnik/Technikerin - Feinwerktechnik
C003221_de_001	Feinmechaniker
C003221_de_002	Feinmechanikerin
C003221_de_003	Feinwerkmechaniker
C003221_de_004	Feinwerkmechanikerin
C003221_de_005	Präzisionsinstrumentenbauer
C003221_de_006	Präzisionsinstrumentenbauerin
C003221_de_007	Techniker Feinwerktechnik
C003221_de_008	Technikerin Feinwerktechnik
C003222_de_000	Zeichner - Heizungs-/Klima-/Sanitärtechnik/Zeichnerin - Heizungs-/Klima-/Sanitärtechnik
C003222_de_001	Heizungsbauzeichner
C003222_de_002	Heizungsbauzeichnerin
C003222_de_003	Sanitärzeichner
C003222_de_004	Sanitärzeichnerin
C003222_de_005	Technische Zeichnerin - Heizungs-, Klima-, Sanitärtechnik
C003222_de_006	Technischer Zeichner - Heizungs-, Klima-, Sanitärtechnik
C003222_de_007	Zeichner - Heizungs-, Klima-, Sanitärtechnik
C003222_de_008	Zeichnerin - Heizungs-, Klima-, Sanitärtechnik
C003223_de_000	Obst- und Gemüseabfüller/Obst- und Gemüseabfüllerin
C003223_de_001	Mitarbeiter in der Konservenfabrik
C003223_de_002	Mitarbeiterin in der Konservenfabrik
C003223_de_003	Obst- und Gemüseabfüller
C003223_de_004	Obst- und Gemüseabfüllerin
C003223_de_005	Obst- und Gemüseverarbeiter
C003223_de_006	Obst- und Gemüseverarbeiterin
C003224_de_000	Tauchgummiwarenhersteller/Tauchgummiwarenherstellerin
C003224_de_001	Latextauchanlagenbediener
C003224_de_002	Latextauchanlagenbedienerin
C003224_de_003	Tauchgummiwarenhersteller
C003224_de_004	Tauchgummiwarenherstellerin
C003225_de_000	Führungskraft in der Bergwerksproduktion
C003225_de_001	Führungskraft in der Steinbruchproduktion
C003226_de_000	Dividendenanalyst/Dividendenanalystin
C003226_de_001	Dividendenanalyst
C003226_de_002	Dividendenanalyst/in
C003226_de_003	Dividendenanalystin
C003226_de_004	Kuponanalyst
C003226_de_005	Kuponanalyst/in
C003226_de_006	Kuponanalystin
C003227_de_000	Wäschereiaufseher/Wäschereiaufseherin
C003227_de_001	Wäschereiaufseher
C003227_de_002	Wäschereiaufseherin
C003228_de_000	Konfektmacher/Konfektmacherin
C003228_de_001	Konditor
C003228_de_002	Konditorin
C003228_de_003	Konditormeister
C003228_de_004	Konditormeisterin
C003228_de_005	Konfektmacher
C003228_de_006	Konfektmacherin
C003228_de_007	Zuckerbäcker
C003228_de_008	Zuckerbäckerin
C003229_de_000	Forstverwalter/Forstverwalterin
C003229_de_001	Forstaufseher
C003229_de_002	Forstaufseherin
C003229_de_003	Forstverwalter
C003229_de_004	Forstverwalterin
C003229_de_005	Parkaufseher
C003229_de_006	Parkaufseherin
C003230_de_000	Werbespezialist/Werbespezialistin
C003230_de_001	Werbefachfrau
C003230_de_002	Werbefachmann
C003230_de_003	Werbespezialist
C003230_de_004	WerbespezialistIn
C003230_de_005	Werbespezialistin
C003231_de_000	Duftchemiker/Duftchemikerin
C003231_de_001	Duftchemiker
C003231_de_002	Duftchemikerin
C003231_de_003	Parfümeur
C003231_de_004	Parfümeurin
C003232_de_000	Fachverkäufer für Musik und Video/Fachverkäuferin für Musik und Video
C003232_de_001	Fachverkäufer für Foto und Video
C003232_de_002	Fachverkäufer für Musik und Video
C003232_de_003	Fachverkäuferin für Foto und Video
C003232_de_004	Fachverkäuferin für Musik und Video
C003232_de_005	Musikfachhändler
C003232_de_006	Musikfachhändlerin
C003232_de_007	Tonträgerverkäufer
C003232_de_008	Tonträgerverkäuferin
C003232_de_009	Videofilmverkäufer
C003232_de_010	Videofilmverkäuferin
C003232_de_011	Videothekverkäufer
C003232_de_012	Videothekverkäuferin
C003233_de_000	Vertriebsleiter für Getränke/Vertriebsleiterin für Getränke
C003233_de_001	Vertriebsleiter für Getränke
C003233_de_002	Vertriebsleiterin für Getränke
C003234_de_000	Patentingenieur/Patentingenieurin
C003234_de_001	Patentingenieur
C003234_de_002	Patentingenieurin
C003235_de_000	Vertriebsleiter für Landwirtschaftsmaschinen und -ausrüstung/Vertriebsleiterin für Landwirtschaftsmaschinen und -ausrüstung
C003235_de_001	Vertriebsleiter für Landwirtschaftsmaschinen und -ausrüstung
C003235_de_002	Vertriebsleiterin für Landwirtschaftsmaschinen und -ausrüstung
C003236_de_000	Haltungstechniker Aquakultur/Haltungstechnikerin Aquakultur
C003236_de_001	Haltungstechniker Aquakultur
C003236_de_002	Haltungstechnikerin Aquakultur
C003237_de_000	Großhändler für Getränke/Großhändlerin für Getränke
C003237_de_001	Getränkehändler im Großhandel
C003237_de_002	Getränkehändlerin im Großhandel
C003237_de_003	Großhändler für Getränke
C003237_de_004	Großhändlerin für Getränke
C003238_de_000	Kakaomahler/Kakaomahlerin
C003238_de_001	Kakaomahler
C003238_de_002	Kakaomahlerin
C003238_de_003	Kakaomüller
C003238_de_004	Kakaomüllerin
C003239_de_000	IT-Netzwerkarchitekt/IT-Netzwerkarchitektin
C003239_de_001	Network Architect
C003239_de_002	Netzwerkarchitekt
C003239_de_003	Netzwerkarchitekten
C003239_de_004	Netzwerkarchitektin
C003240_de_000	Spirituosenschleifmühlenbediener/Spirituosenschleifmühlenbedienerin
C003240_de_001	Spirituosenreibmühlenbediener
C003240_de_002	Spirituosenreibmühlenbedienerin
C003240_de_003	Spirituosenschleifmühlenbediener
C003240_de_004	Spirituosenschleifmühlenbedienerin
C003241_de_000	Regieassistent/Regieassistentin
C003241_de_001	Inspizient
C003241_de_002	Inspizientin
C003241_de_003	Regieassistent
C003241_de_004	Regieassistentin
C003242_de_000	Fachverkäufer für Feinkost/Fachverkäuferin für Feinkost
C003242_de_001	Delikatessenverkäufer
C003242_de_002	Delikatessenverkäuferin
C003242_de_003	Einzelhandelskauffrau mit Schwerpunkt Feinkostfachverkauf
C003242_de_004	Einzelhandelskaufmann mit Schwerpunkt Feinkostfachverkauf
C003242_de_005	Fachverkäufer für Feinkost
C003242_de_006	Fachverkäuferin für Feinkost
C003242_de_007	Feinkostverkäufer
C003242_de_008	Feinkostverkäuferin
C003242_de_009	Greißler
C003242_de_010	Greißlerin
C003242_de_011	Verkäufer im Lebens- und Genussmittelhandel
C003242_de_012	Verkäuferin im Lebens- und Genussmittelhandel
C003243_de_000	Wasserkraftingenieur/Wasserkraftingenieurin
C003243_de_001	Wasserkraftingenieur
C003243_de_002	Wasserkraftingenieurin
C003244_de_000	Tischler/Tischlerin
C003244_de_001	Möbelschreiner
C003244_de_002	Möbelschreinerin
C003244_de_003	Möbeltischler
C003244_de_004	Möbeltischlerin
C003244_de_005	Schreiner
C003244_de_006	Schreinerin
C003244_de_007	Tischler
C003244_de_008	Tischlerin
C003245_de_000	Stadt- und Regionalplaner/Stadt- und Regionalplanerin
C003245_de_001	Stadt- und Regionalplaner
C003245_de_002	Stadt- und Regionalplanerin
C003245_de_003	Städteplaner
C003245_de_004	Städteplanerin
C003246_de_000	Kerzenhersteller/Kerzenherstellerin
C003246_de_001	Kerzenhersteller
C003246_de_002	Kerzenherstellerin
C003246_de_003	Kerzenmacher
C003246_de_004	Kerzenmacherin
C003246_de_005	Wachszieher
C003246_de_006	Wachszieherin
C003247_de_000	Leiter einer Schule oder Universität/Leiterin einer Schule oder Universität
C003247_de_001	Leiter einer Schule oder Universität
C003247_de_002	Leiterin einer Schule oder Universität
C003248_de_000	Spezialist für Preiskalkulation/Spezialistin für Preiskalkulation
C003248_de_001	Experte für Preisberechnung
C003248_de_002	Experte für Preiskalkulation
C003248_de_003	Expertin für Preisberechnung
C003248_de_004	Expertin für Preiskalkulation
C003248_de_005	Spezialist für Preiskalkulation
C003248_de_006	SpezialistIn für Preiskalkulation
C003248_de_007	Spezialistin für Preiskalkulation
C003249_de_000	Waschsalongehilfe/Waschsalongehilfin
C003249_de_001	Mitarbeiter im Waschsalon
C003249_de_002	Mitarbeiterin im Waschsalon
C003249_de_003	Waschsalon-Mitarbeiter
C003249_de_004	Waschsalon-Mitarbeiterin
C003249_de_005	Waschsalongehilfe
C003249_de_006	Waschsalongehilfin
C003250_de_000	Glasformer/Glasformerin
C003250_de_001	Glasformer
C003250_de_002	Glasformerin
C003251_de_000	Migrationsberater/Migrationsberaterin
C003251_de_001	Einwanderungsberater
C003251_de_002	Einwanderungsberaterin
C003251_de_003	MigrantInnenberaterIn
C003251_de_004	MigrantInnenbetreuerIn
C003251_de_005	Migrantenberater
C003251_de_006	Migrantenberaterin
C003251_de_007	Migrationsberater
C003251_de_008	Migrationsberaterin
C003252_de_000	IT-Systemarchitekt/IT-Systemarchitektin
C003252_de_001	IKT-Systemarchitekt
C003252_de_002	IKT-Systemarchitektin
C003252_de_003	IT System Architect
C003252_de_004	IT-Systemarchitekt
C003252_de_005	IT-Systemarchitekten
C003252_de_006	IT-Systemarchitektin
C003253_de_000	Leiter eines Geschäftes für Konditorei- und Süßwaren/Leiterin eines Geschäftes für Konditorei- und Süßwaren
C003253_de_001	Leiter eines Geschäftes für Konditorei- und Süßwaren
C003253_de_002	Leiterin eines Geschäftes für Konditorei- und Süßwaren
C003254_de_000	Küchenhilfe
C003254_de_001	Aide de Cuisine
C003254_de_002	Beikoch
C003254_de_003	Beiköchin
C003254_de_004	Küchengehilfe
C003254_de_005	Küchengehilfin
C003254_de_006	Küchenhelfer
C003254_de_007	Küchenhelferin
C003254_de_008	Küchenpersonal
C003255_de_000	Berater im Bereich Viehzucht/Beraterin im Bereich Viehzucht
C003255_de_001	Berater im Bereich Viehzucht
